lat,lon,site,status,depth,ID,HC,NIA,RC,RB,SD,SI,SC,SP,OT,TR,LC,DC,RKC,DIS,FBL,PBL,M,SM,C,B,D,L,F,S,E,T
North,West,Manta,MPA,Shallow,MT1,51.2195122,17.07317073,7.317073171,12.19512195,7.317073171,0,4.87804878,0,0,0,90.47619044,4.7619048,4.7619048,31.5789474,0,10.5263158,0,57.14285714,33.33333333,0,0,0,4.761904762,0,4.761904762,0
North,West,Manta,MPA,Shallow,MT2,39.02439024,29.26829268,14.63414634,2.43902439,14.63414634,0,0,0,0,0,87.5000001,0,12.5,28.5714286,0,21.4285714,0,68.75,12.5,0,0,0,0,0,18.75,0
North,West,Manta,MPA,Shallow,MT3,48.7804878,26.82926829,12.19512195,7.317073171,2.43902439,0,0,2.43902439,0,0,70.00000008,15,15,57.1428571,0,7.14285714,5,70,20,0,0,0,0,0,5,0
North,West,Manta,MPA,Shallow,MT4,31.70731707,26.82926829,19.51219512,14.63414634,2.43902439,0,0,4.87804878,0,0,69.2307692,23.0769231,7.6923077,33.3333333,0,0,0,61.53846154,0,0,7.692307692,0,7.692307692,0,23.07692308,0
North,West,Manta,MPA,Deep,MT5,80.48780488,2.43902439,0,0,0,0,17.07317073,0,0,0,87.87878786,3.030303,9.0909091,6.89655172,3.44827586,0,0,6.060606061,66.66666667,15.15151515,0,6.060606061,0,0,6.060606061,0
North,West,Manta,MPA,Deep,MT6,70.73170732,12.19512195,9.756097561,0,0,0,4.87804878,2.43902439,0,0,75.86206898,0,24.137931,9.09090909,9.09090909,4.54545455,0,6.896551724,62.06896552,10.34482759,0,0,10.34482759,3.448275862,6.896551724,0
North,West,Manta,MPA,Deep,MT7,58.53658537,4.87804878,9.756097561,2.43902439,2.43902439,0,19.51219512,2.43902439,0,0,79.16666664,0,20.8333333,10.5263158,5.26315789,21.0526316,0,25,45.83333333,4.166666667,0,4.166666667,0,4.166666667,12.5,4.166666667
North,West,Manta,MPA,Deep,MT8,56.09756098,14.63414634,4.87804878,4.87804878,0,0,12.19512195,4.87804878,2.43902439,0,69.56521731,8.6956522,21.7391304,6.25,6.25,12.5,4.347826087,8.695652174,52.17391304,17.39130435,8.695652174,0,0,0,4.347826087,4.347826087
South,West,Tabon,Non-MPA,Shallow,TB1,12.19512195,70.73170732,14.63414634,2.43902439,0,0,0,0,0,0,60,20,20,66.6666667,0,0,0,60,40,0,0,0,0,0,0,0
South,West,Tabon,Non-MPA,Shallow,TB2,9.756097561,53.65853659,7.317073171,19.51219512,9.756097561,0,0,0,0,0,74.99999999,0,25,33.3333333,0,0,0,100,0,0,0,0,0,0,0,0
South,West,Tabon,Non-MPA,Shallow,TB3,14.63414634,58.53658537,21.95121951,2.43902439,2.43902439,0,0,0,0,0,50,16.6666667,33.3333333,33.3333333,0,33.3333333,0,83.33333333,16.66666667,0,0,0,0,0,0,0
South,West,Tabon,Non-MPA,Shallow,TB4,9.756097561,56.09756098,4.87804878,19.51219512,7.317073171,0,2.43902439,0,0,0,99.99999999,0,0,50,0,25,25,25,0,25,0,0,0,0,25,0
South,West,Tabon,Non-MPA,Deep,TB5,9.756097561,26.82926829,19.51219512,26.82926829,17.07317073,0,0,0,0,0,74.99999999,25,0,0,0,0,50,50,0,0,0,0,0,0,0,0
South,West,Tabon,Non-MPA,Deep,TB6,26.82926829,19.51219512,26.82926829,7.317073171,17.07317073,0,2.43902439,0,0,0,81.81818178,0,18.1818182,33.3333333,0,0,0,72.72727273,27.27272727,0,0,0,0,0,0,0
South,West,Tabon,Non-MPA,Deep,TB7,29.26829268,19.51219512,34.14634146,0,7.317073171,0,7.317073171,0,2.43902439,0,91.6666667,8.3333333,0,18.1818182,0,0,25,50,16.66666667,0,0,0,0,0,8.333333333,0
South,West,Tabon,Non-MPA,Deep,TB8,48.7804878,12.19512195,12.19512195,14.63414634,9.756097561,0,0,0,2.43902439,0,89.99999996,5,5,33.3333333,0,5.55555556,10,60,25,0,0,0,0,0,5,0
South,East,Moray,MPA,Shallow,MR1,75.6097561,4.87804878,2.43902439,7.317073171,7.317073171,0,2.43902439,0,0,0,77.41935488,12.9032258,9.6774194,4.16666667,0,0,9.677419355,19.35483871,67.74193548,0,0,0,0,0,0,3.225806452
South,East,Moray,MPA,Shallow,MR2,75.6097561,9.756097561,2.43902439,0,2.43902439,0,0,9.756097561,0,0,67.74193549,6.4516129,25.8064516,9.52380952,0,0,16.12903226,6.451612903,74.19354839,0,0,0,0,0,3.225806452,0
South,East,Moray,MPA,Shallow,MR3,53.65853659,2.43902439,4.87804878,21.95121951,7.317073171,2.43902439,0,7.317073171,0,0,63.6363637,22.7272727,13.6363636,14.2857143,7.14285714,0,9.090909091,27.27272727,54.54545455,0,0,4.545454545,0,4.545454545,0,0
South,East,Moray,MPA,Shallow,MR4,65.85365854,7.317073171,2.43902439,9.756097561,9.756097561,0,0,4.87804878,0,0,77.77777778,7.4074074,14.8148148,4.76190476,0,0,3.703703704,22.22222222,66.66666667,0,0,0,3.703703704,3.703703704,0,0
South,East,Moray,MPA,Deep,MR5,34.14634146,7.317073171,12.19512195,14.63414634,19.51219512,4.87804878,4.87804878,2.43902439,0,0,71.42857143,7.1428571,21.4285714,0,0,0,0,0,85.71428571,14.28571429,0,0,0,0,0,0
South,East,Moray,MPA,Deep,MR6,39.02439024,2.43902439,7.317073171,26.82926829,9.756097561,4.87804878,2.43902439,7.317073171,0,0,68.75000003,6.25,25,9.09090909,0,0,12.5,18.75,62.5,0,0,0,0,6.25,0,0
South,East,Moray,MPA,Deep,MR7,75.6097561,7.317073171,2.43902439,7.317073171,2.43902439,0,0,2.43902439,2.43902439,0,32.25806451,41.9354839,25.8064516,0,0,0,3.225806452,0,74.19354839,16.12903226,0,3.225806452,0,3.225806452,0,0
South,East,Moray,MPA,Deep,MR8,56.09756098,19.51219512,2.43902439,9.756097561,4.87804878,2.43902439,0,0,4.87804878,0,21.73913052,52.173913,26.0869565,0,0,0,0,13.04347826,65.2173913,0,0,0,0,17.39130435,4.347826087,0
North,East,Bamboo,Non-MPA,Shallow,BB1,58.53658537,21.95121951,2.43902439,7.317073171,4.87804878,0,2.43902439,2.43902439,0,0,41.66666666,4.1666667,54.1666667,10,0,0,0,16.66666667,29.16666667,0,0,0,45.83333333,0,4.166666667,4.166666667
North,East,Bamboo,Non-MPA,Shallow,BB2,17.07317073,2.43902439,2.43902439,53.65853659,0,21.95121951,0,2.43902439,0,0,57.14285714,14.2857143,28.5714286,0,0,0,0,28.57142857,42.85714286,0,0,0,14.28571429,0,14.28571429,0
North,East,Bamboo,Non-MPA,Shallow,BB3,12.19512195,0,4.87804878,60.97560976,0,21.95121951,0,0,0,0,0,20,80,0,0,0,0,40,40,0,0,0,0,20,0,0
North,East,Bamboo,Non-MPA,Shallow,BB4,17.07317073,2.43902439,7.317073171,48.7804878,0,21.95121951,2.43902439,0,0,0,71.42857172,0,28.5714286,0,0,0,0,28.57142857,28.57142857,28.57142857,0,0,0,14.28571429,0,0
North,East,Bamboo,Non-MPA,Deep,BB5,14.63414634,9.756097561,4.87804878,53.65853659,0,14.63414634,2.43902439,0,0,0,50,16.6666667,33.3333333,0,0,0,16.66666667,0,16.66666667,0,0,0,33.33333333,16.66666667,16.66666667,0
North,East,Bamboo,Non-MPA,Deep,BB6,12.19512195,0,0,60.97560976,0,26.82926829,0,0,0,0,40,40,20,0,0,0,0,0,20,0,0,0,0,80,0,0
North,East,Bamboo,Non-MPA,Deep,BB7,14.63414634,4.87804878,2.43902439,56.09756098,0,19.51219512,0,0,0,2.43902439,33.33333333,16.6666667,50,0,0,0,0,16.66666667,33.33333333,0,0,16.66666667,0,16.66666667,16.66666667,0
North,East,Bamboo,Non-MPA,Deep,BB8,31.70731707,0,2.43902439,31.70731707,2.43902439,24.3902439,0,0,2.43902439,4.87804878,38.46153862,30.7692308,30.7692308,20,0,20,7.692307692,38.46153846,30.76923077,23.07692308,0,0,0,0,0,0